Tiempo,Costo
0.448,13585.8
3.763,13585.6
9.579,13585.4
12.83,13585.2
18.007,13585
22.696,13584.9
25.982,13584.7
30.271,13584.5
34.238,13584.3
37.557,13584.1
41.281,13584
44.522,13583.8
48.061,13583.6
51.51,13583.4
54.757,13583.2
58.07,13583.1
61.31,13582.9
64.553,13582.7
67.791,13582.5
70.983,13582.3
74.171,13582.2
77.367,13582
80.507,13581.8
83.655,13581.6
86.715,13581.4
89.797,13581.3
93.177,13581.1
96.399,13580.9
99.469,13580.7
102.595,13580.5
105.732,13580.4
108.799,13580.2
111.844,13580
114.779,13579.8
117.663,13579.6
120.506,13579.5
123.26,13579.3
126.005,13579.1
128.631,13578.9
131.176,13578.7
133.674,13578.6
136.085,13578.4
138.403,13578.2
140.663,13578
142.802,13577.8
144.819,13577.7
146.746,13577.5
148.583,13577.3
150.343,13577.1
151.897,13576.9
153.408,13576.8
